Id,Name
0, Ocean
1, Plains
2, Desert
16, Beach
17, DesertHills
35, Savanna
36, Savanna Plateau
46, Brushland
47, Canyon
48, Chaparral
53, Dead Forest
54, Dead Swamp
66, Highland
70, Lush Desert
71, Lush Swamp
81, Outback
88, Shrubland
89, Sludgepit
102, Volcano
105, Canyon Ravine
109, Oasis
111, Scrubland
115, Corrupted Sands
118, Visceral Heap
123, Dry River
126, Ocean Oil Field
127, Desert Oil Field
130, Desert M
145, Mountainous Desert
146, Red Rock Mountains
154, Savanna
159, Shrubland
163, Savanna M
164, Savanna Plateau M
172, Wasteland
202, Badlands
206, Desert Mountains
207, Dunes
214, Outback
218, Rock Mountains
220, Savannah
230, Desert Island
235, Rock Island
238, Bald Hill
239, Mesa
241, Oasis
242, Canyon
243, Shrubland
