Id,Name
0, Ocean
2, Desert
16, Beach
21, Jungle
22, JungleHills
23, JungleEdge
42, Bamboo Forest
44, Bog
64, Grove
73, Marsh
83, Rainforest
85, Sacred Springs
93, Tropical Rainforest
99, Coral Reef
100, Kelp Forest
101, Tropics
102, Volcano
103, Mangrove
126, Ocean Oil Field
127, Desert Oil Field
134, Swampland M
135, Extreme Jungle
144, Mini Jungle
149, Jungle M
150, Rainforest
151, JungleEdge M
165, Mesa (Bryce)
166, Mesa Plateau F M
167, Mesa Plateau M
204, Bog
216, Rainforest
224, Tropics
225, Tropical Islands
232, Jungle Island
236, Windy Island
